schema_context,column,check,check_number,failure_case,index
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.5,22
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.5,22418
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.6,21113
Column,LBSTRESN,greater_than_or_equal_to(0),0,-12.5,21155
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.0,21322
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.6,21332
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.4,21824
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.8,21827
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.8,21858
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.7,22089
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.7,22425
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.6,20766
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.9,22696
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.6,22723
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.6,22789
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.7,22913
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.9,23401
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.1,24228
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.1,24236
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.5,24365
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.2,20806
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.7,20667
Column,LBSTRESN,greater_than_or_equal_to(0),0,-8.0,24686
Column,LBSTRESN,greater_than_or_equal_to(0),0,-4.4,19095
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.9,15451
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.5,16415
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.8,16455
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.0,16703
Column,LBSTRESN,greater_than_or_equal_to(0),0,-6.3,16994
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.1,17670
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.2,18156
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.3,18530
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.4,19122
Column,LBSTRESN,greater_than_or_equal_to(0),0,-7.7,20616
Column,LBSTRESN,greater_than_or_equal_to(0),0,-3.2,19262
Column,LBSTRESN,greater_than_or_equal_to(0),0,-5.0,19856
Column,LBSTRESN,greater_than_or_equal_to(0),0,-38.6,19992
Column,LBSTRESN,greater_than_or_equal_to(0),0,-2.3,20086
Column,LBSTRESN,greater_than_or_equal_to(0),0,-0.9,20103
Column,LBSTRESN,greater_than_or_equal_to(0),0,-1.8,20182
